-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2001 through 04/01/2024 
Location: Latitude  21.9835   Longitude 108.6506 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 57.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB         CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,WS2M,T2M,RH2M,PS,WS10M
2001,1,1,3.72,2.89,2.08,8.43,0.21,2.66,14.76,82.56,100.94,3.73
2001,1,2,1.84,0.84,1.43,5.33,0.14,2.71,17.65,87.25,100.83,3.81
2001,1,3,1.3,0.52,1.03,3.86,0.09,3.35,16.15,85.25,101.07,4.48
2001,1,4,2.32,1.24,1.62,5.53,0.13,2.9,15.45,82.19,101.2,3.83
2001,1,5,3.01,1.98,1.85,7.64,0.19,3.48,17.09,83.25,101.1,4.59
2001,1,6,2.33,1.72,1.47,6.61,0.17,3.23,18.69,88.12,100.88,4.45
2001,1,7,3.19,2.26,1.92,8.32,0.2,2.89,19.55,87.75,100.64,4.06
2001,1,8,3.81,3.6,1.93,9.29,0.22,2.92,20.2,86.12,100.5,4.16
2001,1,9,1.32,0.54,1.04,3.96,0.1,6.83,12.45,72.5,101.13,8.95
2001,1,10,1.36,0.55,1.07,4.2,0.11,4.23,11.23,71.62,101.08,5.44
2001,1,11,1.77,0.92,1.31,5.09,0.13,2.55,13.74,75.75,100.89,3.34
2001,1,12,1.04,0.46,0.82,3.02,0.08,2.53,16.8,82.88,100.92,3.42
2001,1,13,1.78,0.88,1.35,5.21,0.13,4.69,13.58,69.88,101.19,6.14
2001,1,14,2.14,0.91,1.62,5.87,0.16,4.09,15.12,63.75,101.35,5.38
2001,1,15,0.51,0.28,0.38,1.65,0.04,5.49,10.48,76.5,101.84,7.06
2001,1,16,0.68,0.37,0.5,2.19,0.06,3.11,11.09,80.38,101.82,4.08
2001,1,17,1.42,0.55,1.13,4.39,0.12,2.16,15.61,81.06,101.48,2.93
2001,1,18,1.63,0.75,1.21,5.02,0.14,3.12,18.08,86.12,101.15,4.24
2001,1,19,3.33,2.55,1.86,9.02,0.25,2.71,19.72,84.31,101.14,3.73
2001,1,20,3.99,3.02,2.2,10.22,0.27,1.7,19.76,79.75,101.06,2.45
2001,1,21,3.57,2.55,2.07,9.51,0.26,2.98,20.19,87.12,100.63,4.04
2001,1,22,2.51,1.27,1.79,7.27,0.2,3.27,21.27,87.56,100.42,4.45
2001,1,23,2.77,1.68,1.83,7.7,0.21,3.16,21.88,85.31,100.42,4.37
2001,1,24,2.49,1.58,1.58,7.22,0.2,3.41,21.91,90.06,100.21,4.62
2001,1,25,0.88,0.4,0.68,2.99,0.08,5.94,15.45,73.62,100.4,7.7
2001,1,26,1.48,0.6,1.17,4.64,0.12,6.63,10.94,60.75,101.03,8.56
2001,1,27,0.65,0.33,0.5,2.26,0.06,4.19,12.23,64.88,101.22,5.32
2001,1,28,2.43,1.14,1.75,6.46,0.17,6.01,11.08,60.44,101.55,7.74
2001,1,29,2.5,1.54,1.65,6.55,0.16,3.48,12.48,60.56,101.46,4.62
2001,1,30,0.85,0.41,0.66,2.55,0.06,1.43,15.11,69.56,101.11,2.03
2001,1,31,1.05,0.47,0.81,3.29,0.09,2.76,16.44,83.62,100.83,3.6
2001,2,1,0.99,0.46,0.76,3.19,0.09,5.18,14.37,77.31,100.9,6.64
2001,2,2,0.86,0.42,0.65,2.86,0.08,3.54,12.94,75.19,100.92,4.56
2001,2,3,1.19,0.52,0.93,3.82,0.11,3.27,13.69,76.5,100.86,4.19
2001,2,4,1.95,0.79,1.53,5.74,0.17,4.03,13.64,70.44,101.02,5.3
2001,2,5,2.66,1.27,1.91,7.22,0.2,2.32,16.03,85.94,100.69,3.23
2001,2,6,1.59,0.75,1.21,4.69,0.13,2.52,19.2,87.75,100.48,3.53
2001,2,7,2.05,0.84,1.58,5.59,0.16,6.29,15.27,71.25,101.0,8.12
2001,2,8,1.38,0.58,1.08,4.08,0.12,4.75,11.73,73.94,101.28,6.04
2001,2,9,0.99,0.47,0.76,3.09,0.09,5.16,11.99,80.69,101.42,6.61
2001,2,10,1.61,0.66,1.25,4.98,0.13,3.96,12.35,73.56,101.32,5.16
2001,2,11,2.14,0.88,1.63,6.26,0.17,1.56,15.37,77.81,101.07,2.09
2001,2,12,3.88,2.38,2.34,9.73,0.26,2.68,17.81,79.06,101.03,3.59
2001,2,13,1.34,0.65,1.02,4.5,0.13,7.55,12.66,66.44,101.49,9.7
2001,2,14,5.38,5.29,1.97,12.75,0.35,4.89,11.74,61.25,101.72,6.36
2001,2,15,3.37,1.59,2.34,8.48,0.24,3.17,13.82,62.12,101.64,4.26
2001,2,16,4.22,2.81,2.3,9.81,0.27,2.63,15.73,58.81,101.61,3.55
2001,2,17,4.02,2.39,2.43,10.16,0.29,2.5,17.4,79.0,101.26,3.55
2001,2,18,2.47,0.92,1.93,7.15,0.2,2.91,18.96,84.44,100.94,3.98
2001,2,19,2.43,0.95,1.86,6.61,0.18,2.53,19.87,81.75,100.89,3.5
2001,2,20,4.07,2.17,2.64,9.9,0.27,2.58,20.3,75.56,100.77,3.64
2001,2,21,2.99,1.2,2.24,7.06,0.18,1.98,20.69,80.38,100.6,2.84
2001,2,22,2.88,1.13,2.18,7.4,0.2,2.92,21.26,83.88,100.49,4.0
2001,2,23,3.06,1.21,2.28,7.16,0.19,2.9,21.92,82.69,100.36,3.95
2001,2,24,1.24,0.5,0.96,2.73,0.06,4.7,19.87,75.0,100.65,6.18
2001,2,25,0.91,0.41,0.7,2.6,0.06,6.41,12.28,81.94,101.13,8.2
2001,2,26,1.55,0.59,1.2,4.37,0.11,3.19,13.84,82.38,101.15,4.03
2001,2,27,1.74,0.65,1.34,5.53,0.16,3.42,18.03,84.06,101.15,4.4
2001,2,28,2.09,0.75,1.63,6.28,0.18,5.59,16.25,70.38,101.34,7.16
2001,3,1,5.08,3.69,2.5,12.09,0.32,3.25,16.38,66.19,101.36,4.3
2001,3,2,3.12,1.18,2.35,7.81,0.21,2.75,18.34,76.31,101.09,3.77
2001,3,3,0.86,0.38,0.65,2.5,0.06,3.74,19.19,80.06,101.29,4.92
2001,3,4,5.69,5.36,2.04,12.95,0.34,3.61,17.79,63.81,101.36,4.77
2001,3,5,3.1,1.22,2.27,7.88,0.22,3.41,19.14,81.25,100.84,4.6
2001,3,6,3.28,1.32,2.36,8.17,0.23,3.05,21.26,82.38,100.69,4.13
2001,3,7,3.09,1.2,2.27,7.68,0.21,3.2,20.98,81.0,100.83,4.23
2001,3,8,0.87,0.38,0.65,2.66,0.07,5.99,15.03,78.31,101.5,7.66
2001,3,9,0.73,0.33,0.55,2.11,0.05,3.6,14.27,78.56,101.49,4.52
2001,3,10,0.98,0.41,0.74,3.2,0.09,2.41,16.91,85.44,101.18,3.09
2001,3,11,0.82,0.39,0.59,2.9,0.08,4.27,17.19,85.0,101.26,5.44
2001,3,12,1.42,0.56,1.06,4.67,0.13,3.5,17.35,79.69,101.3,4.56
2001,3,13,2.07,0.73,1.57,6.66,0.19,2.58,19.5,81.88,101.06,3.44
2001,3,14,2.2,0.88,1.58,7.11,0.21,3.71,21.79,86.75,100.87,4.85
2001,3,15,2.33,0.87,1.75,7.48,0.23,3.53,22.74,85.44,100.69,4.62
2001,3,16,4.22,2.58,2.47,11.84,0.35,4.2,23.37,84.12,100.3,5.48
2001,3,17,4.61,2.71,2.58,11.97,0.35,2.73,23.37,77.38,100.37,3.66
2001,3,18,2.58,0.96,1.86,7.59,0.23,3.49,19.4,81.06,100.71,4.46
2001,3,19,2.04,0.72,1.56,6.66,0.2,2.8,22.26,89.12,100.6,3.73
2001,3,20,3.3,1.14,2.48,9.7,0.3,2.7,22.27,80.31,100.56,3.72
2001,3,21,6.27,5.5,2.19,15.38,0.44,2.26,22.05,71.81,100.36,3.11
2001,3,22,3.12,1.2,2.24,8.27,0.24,3.75,23.33,85.06,100.08,4.98
2001,3,23,4.41,2.95,2.26,11.52,0.34,4.19,24.38,84.06,99.96,5.57
2001,3,24,4.32,2.22,2.67,10.22,0.29,3.63,24.73,85.5,99.85,4.83
2001,3,25,3.89,2.05,2.31,10.16,0.29,4.8,22.51,71.94,100.1,6.31
2001,3,26,2.67,1.02,1.95,6.94,0.18,2.88,19.55,71.56,100.17,3.76
2001,3,27,1.79,0.64,1.36,5.07,0.13,2.3,21.43,75.06,100.05,3.11
2001,3,28,3.45,1.2,2.55,8.98,0.24,2.35,22.4,78.19,100.33,3.14
2001,3,29,6.37,5.15,2.42,15.69,0.41,4.43,19.43,66.44,100.71,5.72
2001,3,30,3.51,1.28,2.54,9.07,0.23,3.37,21.35,81.31,100.6,4.46
2001,3,31,2.24,0.72,1.71,5.62,0.15,3.12,22.98,82.19,100.79,4.04
2001,4,1,2.61,0.91,1.92,6.57,0.17,4.35,23.04,81.75,100.71,5.62
2001,4,2,3.91,1.64,2.68,9.27,0.24,4.3,23.58,82.25,100.32,5.61
2001,4,3,2.66,0.91,2.02,7.82,0.21,3.33,24.94,82.75,100.15,4.37
2001,4,4,3.35,1.17,2.5,8.75,0.23,3.0,24.71,80.38,100.34,3.93
2001,4,5,2.61,0.98,1.9,7.14,0.2,3.02,24.16,78.94,100.47,3.86
2001,4,6,1.97,0.66,1.51,5.41,0.15,1.83,25.13,80.5,100.5,2.34
2001,4,7,2.14,0.7,1.64,6.38,0.18,2.88,25.12,81.44,100.27,3.76
2001,4,8,3.87,1.6,2.65,9.11,0.25,3.58,26.96,80.62,99.7,4.65
2001,4,9,4.43,1.77,3.06,8.73,0.23,2.74,27.44,79.75,99.84,3.66
2001,4,10,4.02,1.65,2.73,7.17,0.19,5.83,24.79,66.88,100.5,7.69
2001,4,11,3.75,1.53,2.58,8.81,0.25,7.72,16.8,57.0,101.31,9.99
2001,4,12,3.65,1.35,2.61,7.84,0.22,3.28,17.89,55.06,101.06,4.21
2001,4,13,4.05,1.64,2.77,10.4,0.3,1.91,21.15,68.5,100.78,2.53
2001,4,14,1.64,0.57,1.24,4.91,0.14,2.02,23.26,76.56,101.06,2.66
2001,4,15,1.7,0.59,1.29,5.01,0.14,2.12,24.06,79.75,100.89,2.73
2001,4,16,1.72,0.63,1.29,5.7,0.16,2.54,24.76,81.38,100.51,3.29
2001,4,17,2.74,0.94,2.08,8.49,0.24,2.19,25.19,79.44,100.22,2.9
2001,4,18,3.77,1.67,2.47,10.31,0.28,3.68,26.33,80.19,99.89,4.84
2001,4,19,4.89,2.47,2.93,12.85,0.35,4.51,27.43,77.94,99.64,5.91
2001,4,20,6.14,4.32,2.9,14.88,0.39,5.02,28.22,75.69,99.41,6.58
2001,4,21,6.57,5.56,2.35,16.14,0.42,3.56,28.15,71.5,99.61,4.72
2001,4,22,3.29,1.22,2.33,8.73,0.24,5.73,20.73,70.19,100.36,7.35
2001,4,23,2.59,0.88,1.93,7.56,0.2,2.95,22.8,81.19,100.38,3.82
2001,4,24,3.04,1.26,2.04,8.93,0.25,3.81,23.72,79.56,100.55,4.9
2001,4,25,3.42,1.63,2.2,8.59,0.22,4.17,22.05,77.75,100.67,5.34
2001,4,26,1.93,0.67,1.48,5.59,0.15,3.46,24.39,80.31,100.58,4.47
2001,4,27,3.55,1.53,2.37,9.14,0.25,4.87,25.86,81.25,100.24,6.38
2001,4,28,5.04,2.99,2.75,13.53,0.38,3.78,26.95,79.81,99.97,5.05
2001,4,29,5.7,3.65,2.71,15.24,0.43,3.81,27.08,81.06,100.04,5.09
2001,4,30,5.74,3.58,2.89,14.22,0.38,3.04,27.48,79.44,100.34,4.09
2001,5,1,3.07,1.13,2.26,8.04,0.21,5.05,22.75,74.12,100.56,6.59
2001,5,2,3.36,1.12,2.53,8.92,0.24,1.62,25.04,73.19,100.25,2.16
2001,5,3,3.06,1.02,2.3,9.1,0.26,1.71,25.45,82.38,100.3,2.25
2001,5,4,3.2,1.22,2.36,9.83,0.28,2.85,25.73,88.88,100.36,3.83
2001,5,5,4.56,3.09,2.32,13.38,0.39,3.46,26.66,85.12,100.18,4.64
2001,5,6,5.64,3.72,2.89,15.89,0.46,3.94,27.42,85.06,99.94,5.24
2001,5,7,6.93,6.23,2.19,18.38,0.52,3.7,28.47,82.19,99.78,4.87
2001,5,8,4.84,2.36,3.13,13.95,0.41,3.41,27.34,79.12,99.8,4.47
2001,5,9,4.51,2.75,2.52,12.43,0.36,4.62,25.12,75.12,100.03,6.01
2001,5,10,6.48,4.78,2.53,17.08,0.49,4.73,22.68,69.0,100.47,6.12
2001,5,11,5.02,3.1,2.79,13.6,0.38,2.88,24.83,68.06,100.41,3.82
2001,5,12,6.63,5.46,2.41,17.22,0.48,2.7,26.33,66.25,100.22,3.69
2001,5,13,6.46,4.95,2.69,16.32,0.45,1.02,27.8,67.19,100.05,1.5
2001,5,14,6.21,4.27,2.85,15.16,0.41,1.0,28.74,66.12,100.14,1.38
2001,5,15,4.99,2.85,2.8,12.13,0.33,2.38,28.12,73.5,100.39,3.1
2001,5,16,2.26,0.77,1.7,7.23,0.2,4.01,25.98,84.94,100.41,5.2
2001,5,17,2.42,0.85,1.81,8.12,0.23,3.38,26.2,90.69,100.07,4.48
2001,5,18,4.22,2.14,2.65,12.63,0.36,3.57,27.53,79.25,99.87,4.78
2001,5,19,7.14,6.75,1.96,18.69,0.51,2.51,27.43,73.19,99.89,3.26
2001,5,20,6.0,4.44,2.65,16.52,0.45,2.47,27.45,81.5,99.72,3.22
2001,5,21,5.54,4.19,2.26,15.8,0.44,2.78,27.46,88.31,99.52,3.68
2001,5,22,4.94,2.72,2.95,14.13,0.38,1.01,28.17,84.19,99.57,1.5
2001,5,23,6.46,5.15,2.36,17.4,0.47,1.95,28.66,81.31,99.6,2.63
2001,5,24,6.2,4.87,2.59,17.02,0.48,2.11,28.08,86.25,99.56,2.87
2001,5,25,3.82,1.38,2.79,11.26,0.32,1.84,27.41,88.31,99.68,2.53
2001,5,26,0.81,0.38,0.6,2.93,0.07,2.91,26.44,94.0,99.88,3.89
2001,5,27,1.68,0.61,1.26,5.68,0.16,3.3,26.35,87.25,100.05,4.36
2001,5,28,4.11,1.44,3.03,11.41,0.32,3.48,25.84,83.0,99.96,4.55
2001,5,29,5.44,3.12,2.99,14.54,0.41,1.92,27.09,81.56,99.76,2.54
2001,5,30,3.12,1.07,2.33,9.93,0.29,3.36,26.51,78.81,99.89,4.43
2001,5,31,4.07,1.42,2.96,12.02,0.36,3.2,24.08,87.0,100.12,4.23
2001,6,1,2.59,0.87,1.95,8.31,0.24,2.76,25.97,87.94,100.18,3.64
2001,6,2,1.03,0.41,0.77,3.69,0.09,1.95,26.16,88.38,100.24,2.59
2001,6,3,4.06,1.75,2.84,12.0,0.34,2.66,26.59,91.0,100.2,3.61
2001,6,4,0.85,0.36,0.63,3.09,0.08,2.23,27.3,85.5,99.89,3.08
2001,6,5,4.52,2.04,3.05,13.23,0.38,1.75,25.83,89.0,99.79,2.44
2001,6,6,1.08,0.43,0.81,3.73,0.09,2.59,26.74,92.19,99.65,3.51
2001,6,7,1.51,0.56,1.13,4.95,0.13,4.38,26.72,92.44,99.62,5.88
2001,6,8,3.81,1.26,2.84,11.16,0.32,4.96,27.15,92.06,99.54,6.67
2001,6,9,5.78,2.98,3.53,15.67,0.45,4.55,27.6,90.81,99.6,6.12
2001,6,10,3.73,1.23,2.79,11.04,0.32,3.65,27.35,91.62,99.64,4.9
2001,6,11,2.81,0.97,2.1,8.8,0.25,2.49,26.86,91.56,99.78,3.39
2001,6,12,4.1,1.78,2.78,12.48,0.36,3.36,27.58,88.94,99.72,4.5
2001,6,13,1.69,0.62,1.25,5.77,0.17,3.29,26.76,87.75,99.49,4.44
2001,6,14,7.35,6.62,2.26,18.62,0.48,1.11,27.65,77.06,99.68,1.61
2001,6,15,7.29,6.49,2.27,18.29,0.48,1.73,27.51,77.31,99.67,2.47
2001,6,16,6.72,5.21,2.76,17.65,0.48,2.75,27.34,85.19,99.66,3.81
2001,6,17,6.04,3.86,3.17,16.4,0.45,3.15,27.82,87.81,99.73,4.34
2001,6,18,6.05,3.75,3.28,16.45,0.47,3.12,28.05,89.25,99.59,4.24
2001,6,19,6.09,2.97,3.83,16.6,0.48,3.16,28.33,89.38,99.3,4.27
2001,6,20,4.42,1.62,3.23,13.02,0.38,2.36,28.4,90.62,99.28,3.24
2001,6,21,5.35,2.72,3.2,14.95,0.45,2.14,28.15,89.0,99.5,2.92
2001,6,22,5.02,2.27,3.33,14.49,0.43,1.8,27.55,89.69,99.65,2.49
2001,6,23,6.61,4.9,2.96,17.29,0.48,1.32,27.8,82.5,99.64,1.77
2001,6,24,6.35,4.53,2.88,17.12,0.5,1.54,29.48,76.88,99.65,2.07
2001,6,25,4.15,1.71,2.87,12.35,0.37,1.29,28.7,83.56,99.58,1.78
2001,6,26,4.25,1.83,2.83,12.73,0.38,2.17,28.94,84.25,99.34,2.88
2001,6,27,1.32,0.53,0.96,4.71,0.13,4.3,27.69,90.25,99.26,5.71
2001,6,28,4.45,1.82,3.02,13.46,0.4,4.52,27.22,90.06,99.63,6.06
2001,6,29,5.51,3.04,3.28,14.94,0.44,3.44,28.08,88.0,99.8,4.64
2001,6,30,6.66,5.16,2.74,17.51,0.52,1.81,28.48,83.06,99.75,2.42
2001,7,1,4.71,2.44,2.93,13.3,0.4,3.43,27.9,87.5,99.45,4.6
2001,7,2,0.71,0.36,0.51,2.49,0.06,5.77,27.17,92.06,98.68,7.78
2001,7,3,1.2,0.48,0.9,4.12,0.12,7.5,26.9,92.94,99.27,10.12
2001,7,4,5.53,3.27,3.19,14.81,0.43,2.64,28.15,84.38,99.44,3.52
2001,7,5,7.23,6.77,2.14,18.54,0.53,3.14,28.93,83.62,98.97,4.36
2001,7,6,5.63,2.82,3.45,14.91,0.44,4.32,29.13,86.75,98.69,5.92
2001,7,7,0.68,0.34,0.49,2.57,0.08,4.51,27.73,90.75,98.87,6.11
2001,7,8,5.41,2.47,3.5,14.74,0.42,4.27,27.5,92.81,99.72,5.77
2001,7,9,5.98,3.79,3.14,16.62,0.47,2.5,27.51,89.88,100.04,3.39
2001,7,10,6.92,6.21,2.39,18.45,0.52,1.76,27.59,86.06,99.99,2.4
2001,7,11,6.59,4.5,3.23,17.53,0.5,2.57,28.44,88.06,99.76,3.46
2001,7,12,6.37,4.33,3.1,17.23,0.48,2.34,28.87,87.0,99.51,3.19
2001,7,13,5.95,3.05,3.64,15.81,0.45,2.89,28.62,90.25,99.43,3.97
2001,7,14,1.77,0.74,1.28,5.44,0.15,3.36,27.83,91.69,99.64,4.54
2001,7,15,1.85,0.69,1.37,6.23,0.19,3.55,27.28,92.25,99.73,4.71
2001,7,16,2.62,0.91,1.95,8.39,0.25,3.67,27.17,91.19,99.69,4.92
2001,7,17,1.73,0.63,1.29,5.98,0.17,3.73,27.4,91.69,99.36,4.97
2001,7,18,4.52,1.64,3.3,12.57,0.37,1.02,27.87,85.12,99.4,1.53
2001,7,19,5.98,3.63,3.14,15.06,0.41,1.31,28.33,84.75,99.58,1.84
2001,7,20,2.75,1.05,2.04,8.3,0.23,2.41,27.75,89.06,99.54,3.28
2001,7,21,5.49,2.74,3.44,15.42,0.45,2.99,27.12,90.06,99.65,4.02
2001,7,22,4.63,1.95,3.23,13.98,0.41,3.15,27.08,89.5,99.86,4.2
2001,7,23,4.3,2.4,2.58,12.88,0.4,2.6,27.14,89.56,99.92,3.54
2001,7,24,6.99,6.13,2.32,18.71,0.55,1.52,28.24,84.69,99.68,2.14
2001,7,25,6.39,4.48,2.93,16.59,0.48,1.27,28.69,84.38,99.61,1.84
2001,7,26,0.68,0.35,0.5,2.52,0.06,3.9,26.89,92.56,99.17,5.31
2001,7,27,1.87,0.74,1.37,6.08,0.18,5.47,27.04,93.12,99.53,7.38
2001,7,28,3.97,1.55,2.87,11.91,0.34,3.16,27.4,91.31,99.71,4.28
2001,7,29,6.37,4.79,2.81,17.33,0.5,3.08,27.93,90.38,99.73,4.16
2001,7,30,6.02,4.03,3.05,16.63,0.48,2.7,27.86,91.81,99.74,3.69
2001,7,31,6.56,5.5,2.44,17.89,0.53,3.05,28.42,90.69,99.66,4.16
2001,8,1,2.73,0.99,2.06,8.8,0.26,2.18,27.94,91.94,99.53,2.97
2001,8,2,0.89,0.41,0.64,3.17,0.09,3.93,26.86,94.06,99.6,5.3
2001,8,3,1.69,0.63,1.28,5.38,0.15,3.16,26.46,92.19,100.18,4.29
2001,8,4,6.19,4.42,3.18,16.78,0.48,1.41,27.69,85.19,100.42,1.91
2001,8,5,6.35,4.69,2.88,16.84,0.48,1.87,28.39,85.25,100.24,2.55
2001,8,6,6.7,5.85,2.39,17.73,0.51,1.62,27.87,87.25,100.06,2.28
2001,8,7,6.94,7.09,1.85,18.73,0.55,1.4,28.53,83.81,99.84,1.98
2001,8,8,6.74,5.68,2.43,17.8,0.52,1.46,28.8,83.56,99.9,2.08
2001,8,9,6.43,5.25,2.51,16.88,0.48,1.12,29.29,82.31,100.0,1.62
2001,8,10,4.69,2.54,2.96,13.81,0.4,3.89,28.38,88.12,99.9,5.16
2001,8,11,4.73,1.8,3.38,13.57,0.41,4.05,27.51,89.25,100.01,5.39
2001,8,12,3.13,1.25,2.26,9.65,0.27,2.91,26.98,91.12,100.03,3.98
2001,8,13,4.56,1.87,3.12,12.45,0.36,0.89,27.49,83.06,100.12,1.27
2001,8,14,3.89,1.99,2.54,10.93,0.3,1.33,27.52,84.0,100.16,1.88
2001,8,15,6.02,4.32,2.67,15.7,0.45,1.07,27.84,81.25,99.96,1.55
2001,8,16,5.76,3.76,2.97,15.1,0.42,0.89,28.44,79.12,99.72,1.26
2001,8,17,6.08,4.31,2.65,15.45,0.41,0.67,29.03,77.44,99.7,0.9
2001,8,18,5.43,3.1,3.11,14.38,0.39,1.07,29.33,79.25,99.67,1.48
2001,8,19,5.95,4.21,2.7,15.56,0.45,0.77,29.28,81.44,99.74,1.16
2001,8,20,5.18,2.75,3.06,13.13,0.38,1.29,29.4,80.5,99.87,1.8
2001,8,21,6.62,5.45,2.46,16.73,0.48,1.35,29.58,74.0,99.84,1.97
2001,8,22,6.31,4.59,2.82,15.75,0.46,1.64,29.24,76.25,99.66,2.38
