-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2001 through 04/01/2024 
Location: Latitude  24.3236   Longitude 109.407 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 192.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB         CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,WS2M,T2M,RH2M,PS,WS10M
2001,1,1,2.88,1.77,2.02,6.3,0.14,1.53,11.33,78.06,99.41,2.54
2001,1,2,0.71,0.37,0.54,1.98,0.05,1.79,13.0,88.56,99.37,2.67
2001,1,3,0.9,0.41,0.7,2.57,0.06,3.09,11.09,84.12,99.72,4.41
2001,1,4,0.65,0.34,0.49,1.86,0.05,2.05,10.26,87.5,99.81,2.95
2001,1,5,1.0,0.45,0.78,2.72,0.06,1.55,11.99,91.06,99.65,2.33
2001,1,6,1.58,0.86,1.12,4.24,0.1,2.17,16.31,88.0,99.29,3.25
2001,1,7,1.48,0.82,1.09,3.99,0.09,1.98,17.78,87.56,99.03,3.03
2001,1,8,2.43,1.44,1.72,5.97,0.14,4.36,18.21,81.06,98.95,6.2
2001,1,9,1.02,0.42,0.81,2.84,0.06,5.1,7.96,67.06,99.93,7.19
2001,1,10,1.12,0.46,0.89,3.23,0.08,2.27,7.73,75.06,99.61,3.23
2001,1,11,2.74,2.0,1.68,6.33,0.14,1.23,9.53,79.56,99.37,1.96
2001,1,12,0.79,0.36,0.6,2.27,0.05,2.05,11.03,85.25,99.54,3.09
2001,1,13,4.24,4.99,1.43,9.0,0.2,2.99,9.23,74.62,99.8,4.37
2001,1,14,2.0,0.85,1.55,4.97,0.11,3.57,9.24,66.88,100.12,5.06
2001,1,15,1.11,0.46,0.87,2.93,0.06,3.13,6.63,74.19,100.48,4.53
2001,1,16,1.68,0.79,1.27,4.38,0.09,1.53,8.4,70.56,100.32,2.23
2001,1,17,0.87,0.43,0.66,2.46,0.05,1.12,11.53,84.81,99.97,1.67
2001,1,18,0.9,0.47,0.67,2.69,0.07,2.02,14.98,90.31,99.59,3.14
2001,1,19,1.76,0.69,1.39,4.52,0.12,2.7,17.19,84.56,99.61,3.85
2001,1,20,1.27,0.52,0.99,3.53,0.09,2.7,13.57,79.88,99.67,3.95
2001,1,21,1.85,0.84,1.37,5.05,0.14,3.0,17.61,86.06,99.01,4.48
2001,1,22,2.32,1.07,1.73,5.93,0.16,3.16,20.58,84.75,98.77,4.48
