-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2001 through 04/01/2024 
Location: Latitude  23.115   Longitude 109.59 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 136.34 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB         CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,WS2M,T2M,RH2M,PS,WS10M
2001,1,1,3.38,2.81,1.85,7.05,0.16,1.97,13.72,74.94,100.04,3.09
2001,1,2,0.82,0.4,0.63,2.26,0.05,1.88,17.08,82.81,99.94,2.86
2001,1,3,0.82,0.38,0.63,2.3,0.05,2.67,14.88,82.12,100.23,3.79
2001,1,4,0.98,0.46,0.76,2.62,0.06,2.28,13.35,80.81,100.36,3.21
2001,1,5,2.17,1.14,1.54,5.16,0.12,1.66,16.18,80.25,100.21,2.58
2001,1,6,3.04,2.06,1.89,7.21,0.16,2.57,18.28,82.69,99.97,3.91
2001,1,7,1.68,0.83,1.29,4.41,0.1,2.48,19.9,80.62,99.72,3.65
2001,1,8,2.91,2.15,1.86,6.94,0.16,3.1,20.51,77.19,99.58,4.52
2001,1,9,0.68,0.35,0.53,2.02,0.05,5.85,9.99,66.12,100.37,8.19
2001,1,10,1.1,0.48,0.86,3.2,0.08,3.13,9.9,67.62,100.2,4.33
2001,1,11,2.27,0.96,1.73,5.62,0.13,1.57,12.49,75.5,99.98,2.26
2001,1,12,0.95,0.45,0.73,2.63,0.06,2.15,14.42,83.62,100.11,3.12
2001,1,13,4.34,5.37,1.38,9.31,0.2,3.27,11.94,69.62,100.32,4.67
2001,1,14,2.72,1.26,2.04,6.41,0.15,3.98,13.15,55.69,100.57,5.55
2001,1,15,0.85,0.37,0.67,2.38,0.05,3.61,8.87,71.0,101.0,5.02
2001,1,16,1.13,0.49,0.88,3.24,0.08,2.18,9.62,76.75,100.94,3.1
2001,1,17,1.49,0.63,1.16,3.94,0.09,1.51,14.57,77.88,100.59,2.24
2001,1,18,1.0,0.45,0.77,2.98,0.08,2.23,17.13,83.81,100.26,3.28
2001,1,19,2.4,0.98,1.86,5.91,0.15,2.05,19.14,80.56,100.25,3.08
2001,1,20,1.99,0.93,1.48,5.09,0.13,1.78,18.3,78.25,100.19,2.68
2001,1,21,2.55,1.54,1.64,6.5,0.18,3.2,20.58,79.06,99.71,4.62
2001,1,22,2.97,1.68,2.09,7.27,0.2,3.66,22.12,79.31,99.49,5.14
2001,1,23,2.2,1.21,1.61,5.65,0.15,3.52,22.73,80.12,99.51,4.98
2001,1,24,0.91,0.45,0.71,2.59,0.06,2.73,21.37,88.56,99.35,3.88
2001,1,25,0.74,0.36,0.57,2.21,0.06,5.65,11.55,71.12,99.67,7.75
2001,1,26,2.75,1.34,2.0,6.57,0.16,5.21,8.55,57.19,100.21,7.17
2001,1,27,1.35,0.55,1.06,3.79,0.1,3.5,10.23,61.56,100.38,4.76
2001,1,28,4.34,4.23,1.8,8.98,0.2,4.43,8.83,61.19,100.7,6.13
2001,1,29,4.5,4.89,1.55,9.34,0.21,2.47,10.42,59.19,100.58,3.6
2001,1,30,0.93,0.41,0.73,2.26,0.05,1.03,13.63,64.38,100.21,1.66
2001,1,31,0.6,0.32,0.46,1.76,0.04,1.88,14.44,81.94,99.99,2.69
2001,2,1,0.8,0.37,0.62,2.15,0.05,3.7,11.93,79.31,100.07,5.06
2001,2,2,1.0,0.44,0.78,2.8,0.07,2.58,10.74,72.56,100.07,3.59
2001,2,3,1.17,0.5,0.91,3.46,0.09,2.35,11.4,77.56,100.0,3.26
2001,2,4,3.16,2.32,1.8,7.58,0.21,2.79,11.47,73.5,100.14,3.98
2001,2,5,1.69,0.65,1.34,4.63,0.13,2.45,15.58,84.25,99.76,3.62
2001,2,6,1.35,0.56,1.06,3.94,0.12,2.42,19.31,84.94,99.57,3.56
2001,2,7,1.77,0.68,1.39,4.61,0.13,5.27,12.66,68.06,100.23,7.17
2001,2,8,1.25,0.53,0.97,3.42,0.09,3.42,9.4,75.69,100.44,4.65
2001,2,9,0.52,0.31,0.39,1.48,0.04,3.38,10.39,82.62,100.56,4.62
2001,2,10,1.34,0.58,1.02,3.75,0.1,2.37,10.78,74.19,100.42,3.23
