-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2001 through 04/01/2024 
Location: Latitude  23.8911   Longitude 106.6279 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 474.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB         CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,WS2M,T2M,RH2M,PS,WS10M
2001,1,1,3.65,3.48,1.79,7.7,0.17,1.15,12.44,74.5,96.01,2.59
2001,1,2,1.45,0.72,1.07,4.16,0.1,0.99,14.88,86.69,95.94,2.32
2001,1,3,0.89,0.44,0.69,2.7,0.07,1.45,11.54,78.5,96.38,3.04
2001,1,4,0.89,0.44,0.7,2.64,0.06,0.97,10.73,83.56,96.44,2.06
2001,1,5,0.76,0.39,0.58,2.27,0.05,1.09,11.69,91.31,96.27,2.41
2001,1,6,2.72,1.66,1.88,6.83,0.16,1.27,17.28,83.38,95.92,2.94
2001,1,7,3.13,2.74,1.7,7.72,0.17,1.41,18.51,79.5,95.67,3.18
2001,1,8,4.19,4.03,2.03,10.02,0.23,1.42,19.44,74.75,95.56,3.2
2001,1,9,0.86,0.43,0.68,2.54,0.05,2.53,10.4,59.94,96.51,5.2
2001,1,10,1.56,0.67,1.22,4.52,0.11,0.95,8.62,66.69,96.25,2.02
2001,1,11,2.17,0.97,1.67,5.74,0.13,0.66,9.65,75.94,96.03,1.57
2001,1,12,3.11,2.31,1.79,7.34,0.18,1.19,11.67,73.62,96.22,2.64
2001,1,13,3.8,3.63,1.76,8.78,0.2,1.11,10.28,65.62,96.45,2.52
2001,1,14,1.52,0.61,1.19,4.22,0.1,1.55,10.44,64.5,96.68,3.29
2001,1,15,1.05,0.47,0.83,3.09,0.07,1.4,7.12,76.0,97.05,2.88
2001,1,16,1.61,0.69,1.28,4.76,0.11,1.02,8.69,72.31,96.91,2.12
2001,1,17,1.24,0.56,0.98,3.59,0.09,1.2,11.55,81.62,96.55,2.5
2001,1,18,2.7,1.66,1.78,6.7,0.16,1.29,15.47,83.12,96.18,2.8
2001,1,19,3.13,1.97,2.08,7.97,0.2,1.19,17.69,78.88,96.23,2.64
2001,1,20,2.15,0.93,1.66,5.73,0.16,1.28,14.63,74.88,96.34,2.71
2001,1,21,3.56,3.16,1.77,8.91,0.24,1.72,18.48,78.06,95.66,3.64
2001,1,22,4.71,6.09,1.32,10.82,0.29,1.43,20.73,75.38,95.43,3.13
2001,1,23,4.86,6.48,1.25,11.19,0.29,1.58,21.23,75.12,95.48,3.38
2001,1,24,3.45,2.58,2.01,8.25,0.21,1.55,21.98,81.81,95.35,3.17
2001,1,25,0.97,0.47,0.75,2.86,0.07,2.45,10.08,69.12,95.78,4.8
2001,1,26,1.99,0.78,1.57,5.44,0.14,1.91,7.89,61.5,96.3,3.8
2001,1,27,2.65,1.0,2.09,6.93,0.17,1.2,8.44,63.69,96.43,2.52
2001,1,28,2.64,1.43,1.85,6.52,0.16,1.82,8.15,58.44,96.81,3.76
2001,1,29,3.62,2.75,2.02,8.41,0.2,0.88,8.46,60.38,96.61,2.02
2001,1,30,1.24,0.52,0.98,2.76,0.06,0.77,10.7,64.12,96.24,1.76
2001,1,31,1.2,0.51,0.94,3.23,0.08,0.96,10.87,80.06,96.11,2.03
2001,2,1,0.82,0.39,0.63,2.38,0.06,1.52,10.93,72.44,96.21,3.0
2001,2,2,1.01,0.45,0.78,3.05,0.09,1.21,8.41,62.94,96.14,2.41
2001,2,3,1.48,0.6,1.16,4.34,0.12,1.16,8.65,73.12,96.08,2.3
2001,2,4,3.98,2.93,2.16,9.31,0.26,1.17,10.58,65.69,96.2,2.37
2001,2,5,4.01,3.2,2.08,9.05,0.23,1.56,14.1,76.62,95.68,3.21
2001,2,6,5.06,5.89,1.43,11.77,0.32,1.21,18.61,73.62,95.53,2.48
2001,2,7,2.34,0.86,1.83,5.98,0.18,2.48,11.52,61.25,96.39,4.77
2001,2,8,1.42,0.58,1.09,4.02,0.12,1.51,8.98,69.88,96.49,2.82
2001,2,9,0.94,0.44,0.71,2.69,0.08,1.63,9.25,76.88,96.67,3.15
2001,2,10,1.31,0.6,1.01,3.75,0.1,1.02,9.76,72.31,96.46,2.11
2001,2,11,1.42,0.57,1.1,4.34,0.12,1.37,11.19,79.69,96.15,2.73
2001,2,12,1.25,0.51,0.97,3.79,0.1,1.35,12.19,86.56,96.33,2.64
2001,2,13,1.46,0.59,1.12,4.33,0.12,2.55,9.84,64.31,96.83,4.87
2001,2,14,4.63,4.51,1.66,11.12,0.3,1.27,9.65,60.25,96.87,2.62
2001,2,15,3.11,1.86,1.94,7.28,0.19,0.89,11.19,60.38,96.82,2.0
2001,2,16,3.93,3.05,2.02,8.91,0.23,1.09,12.28,62.0,96.81,2.41
2001,2,17,5.36,5.71,1.7,12.05,0.3,1.41,14.99,61.06,96.29,2.83
2001,2,18,3.59,2.23,2.12,8.75,0.22,1.69,17.47,74.88,95.97,3.36
2001,2,19,2.17,0.86,1.64,5.93,0.16,1.7,19.25,75.0,95.97,3.34
2001,2,20,2.69,1.13,1.99,7.08,0.2,1.91,20.33,71.81,95.83,3.73
2001,2,21,3.71,2.02,2.42,8.84,0.23,1.34,20.12,69.69,95.72,2.68
2001,2,22,4.18,3.24,2.02,10.32,0.27,1.98,21.87,70.0,95.52,3.91
2001,2,23,3.95,2.46,2.35,8.07,0.2,1.34,22.01,70.62,95.41,2.75
2001,2,24,0.96,0.44,0.73,2.5,0.06,2.7,14.74,75.94,96.1,5.09
2001,2,25,0.72,0.37,0.54,2.08,0.05,1.79,9.65,75.62,96.43,3.27
2001,2,26,2.0,0.87,1.48,5.66,0.16,1.58,11.42,78.75,96.24,2.93
2001,2,27,1.97,0.72,1.54,5.47,0.15,1.38,12.67,85.38,96.44,2.54
2001,2,28,2.73,1.05,2.1,7.45,0.2,1.54,13.65,72.75,96.63,2.99
2001,3,1,4.96,3.65,2.44,11.92,0.3,1.03,14.18,64.56,96.54,2.2
2001,3,2,2.56,1.16,1.8,6.73,0.18,1.45,16.32,69.56,96.17,2.94
2001,3,3,2.13,0.76,1.63,5.69,0.16,1.89,15.8,74.19,96.64,3.7
2001,3,4,5.54,5.06,2.0,12.7,0.33,1.4,14.84,60.62,96.55,2.88
2001,3,5,4.75,3.12,2.53,10.62,0.27,1.72,18.12,68.0,95.84,3.43
2001,3,6,3.11,1.38,2.17,7.61,0.2,1.84,20.8,79.12,95.73,3.58
2001,3,7,1.62,0.59,1.26,4.34,0.12,2.03,15.35,81.0,96.24,3.84
2001,3,8,1.07,0.44,0.82,3.12,0.09,2.14,12.24,72.38,96.84,4.05
2001,3,9,0.91,0.4,0.68,2.34,0.06,1.37,11.38,77.19,96.65,2.55
2001,3,10,1.23,0.5,0.91,3.7,0.1,0.93,12.99,85.62,96.4,1.73
2001,3,11,0.99,0.42,0.73,2.84,0.08,1.29,13.75,85.88,96.58,2.53
2001,3,12,3.57,1.25,2.73,9.26,0.25,1.32,15.48,71.62,96.56,2.61
2001,3,13,2.12,0.74,1.63,6.21,0.17,1.68,17.48,70.44,96.15,3.06
2001,3,14,2.85,1.14,2.08,8.07,0.23,1.66,20.38,74.75,95.9,3.2
2001,3,15,3.0,1.32,2.17,8.33,0.24,1.34,21.55,81.75,95.76,2.65
2001,3,16,6.29,6.38,1.7,15.39,0.44,1.69,24.31,66.81,95.27,3.37
2001,3,17,4.92,3.49,2.56,11.23,0.31,1.74,19.73,71.62,95.72,3.34
2001,3,18,2.87,0.96,2.2,7.78,0.23,1.27,17.92,71.06,95.98,2.43
2001,3,19,2.76,0.98,2.1,7.71,0.22,1.66,22.29,81.0,95.73,3.15
2001,3,20,3.38,1.15,2.57,8.7,0.24,1.45,20.44,70.75,95.88,2.87
2001,3,21,5.35,3.86,2.52,12.91,0.36,1.91,22.25,67.56,95.48,3.59
2001,3,22,5.31,3.79,2.52,12.69,0.34,1.96,25.13,70.38,95.07,3.88
2001,3,23,6.02,4.64,2.59,14.52,0.41,1.99,26.8,65.69,94.95,3.93
2001,3,24,4.61,2.08,3.12,10.08,0.27,1.44,26.52,66.12,94.98,2.82
2001,3,25,3.79,1.55,2.64,9.56,0.27,2.29,19.73,62.75,95.61,4.32
2001,3,26,2.26,0.72,1.72,6.24,0.18,1.25,18.13,66.56,95.45,2.43
2001,3,27,3.54,1.5,2.46,9.09,0.23,0.8,19.62,70.38,95.37,1.63
2001,3,28,3.3,1.04,2.53,7.94,0.2,1.71,19.78,69.62,95.7,3.27
2001,3,29,6.78,6.95,1.72,16.41,0.41,1.53,16.95,57.06,95.99,3.03
2001,3,30,3.19,1.11,2.39,7.73,0.19,1.7,20.6,66.12,95.68,3.3
2001,3,31,1.88,0.6,1.45,4.97,0.12,1.37,22.65,76.25,95.96,2.64
2001,4,1,2.12,0.69,1.65,5.76,0.15,2.09,20.59,80.0,95.86,4.03
2001,4,2,5.06,3.49,2.45,12.77,0.34,2.06,24.34,73.44,95.35,4.04
2001,4,3,6.41,5.44,2.25,15.73,0.42,1.52,25.62,69.19,95.3,2.99
2001,4,4,1.79,0.61,1.38,5.2,0.14,1.68,20.15,73.75,95.82,3.22
2001,4,5,2.35,0.75,1.81,6.79,0.19,1.36,20.88,76.06,95.8,2.61
2001,4,6,2.71,0.86,2.08,7.25,0.2,0.96,23.23,74.94,95.8,1.92
2001,4,7,3.0,1.0,2.28,7.54,0.21,1.92,24.82,74.56,95.41,3.77
2001,4,8,6.33,5.03,2.45,14.43,0.4,1.2,26.31,58.94,94.99,2.55
2001,4,9,5.66,3.61,2.88,12.34,0.34,1.18,26.65,61.88,95.11,2.5
2001,4,10,4.52,2.13,2.89,9.41,0.27,3.35,19.73,50.31,96.17,6.49
2001,4,11,3.34,1.18,2.47,7.92,0.22,2.55,13.67,51.56,96.72,4.97
2001,4,12,5.44,2.88,3.13,12.44,0.35,0.99,15.51,55.0,96.31,2.07
2001,4,13,4.25,1.68,2.99,9.49,0.27,1.41,20.12,52.12,95.92,2.78
2001,4,14,2.26,0.75,1.69,5.6,0.16,0.88,19.74,68.88,96.39,1.88
2001,4,15,2.28,0.75,1.71,6.38,0.2,1.19,21.0,70.75,96.16,2.37
2001,4,16,2.33,0.77,1.75,7.23,0.22,1.41,23.36,74.19,95.72,2.74
2001,4,17,3.05,1.13,2.23,8.88,0.25,1.77,24.95,70.88,95.38,3.51
2001,4,18,5.29,3.29,2.83,13.88,0.38,1.73,28.34,62.69,94.94,3.54
2001,4,19,6.71,5.71,2.22,16.84,0.46,1.55,29.48,57.31,94.71,3.22
2001,4,20,7.05,6.68,2.1,17.68,0.47,1.16,29.84,54.56,94.52,2.53
2001,4,21,5.15,3.17,2.85,12.46,0.34,2.39,22.55,65.31,95.21,4.73
2001,4,22,2.73,0.95,2.03,7.65,0.22,1.95,18.24,63.06,95.77,3.82
2001,4,23,1.22,0.46,0.94,3.73,0.09,1.32,20.55,74.25,95.73,2.62
2001,4,24,1.89,0.74,1.39,5.42,0.14,1.47,19.51,75.19,95.99,2.91
2001,4,25,2.74,0.91,2.05,7.34,0.2,1.33,19.15,72.62,96.0,2.65
2001,4,26,2.37,0.79,1.8,7.05,0.2,1.74,21.78,76.0,95.77,3.52
2001,4,27,3.82,1.56,2.65,10.2,0.27,2.62,26.27,70.44,95.26,5.32
2001,4,28,5.64,3.49,2.97,13.8,0.37,2.33,28.24,65.31,95.03,4.84
2001,4,29,6.86,5.68,2.43,17.06,0.46,1.91,28.33,63.69,95.15,3.99
2001,4,30,5.42,3.22,2.86,12.46,0.34,2.2,24.65,64.56,95.77,4.52
2001,5,1,6.34,4.19,3.16,16.12,0.44,1.47,21.65,59.25,95.97,3.06
2001,5,2,2.99,1.04,2.27,7.95,0.21,1.22,22.89,72.5,95.5,2.64
2001,5,3,3.33,1.13,2.5,9.54,0.27,1.27,23.9,78.56,95.5,2.68
