-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2001 through 04/01/2024 
Location: Latitude  24.6933   Longitude 108.0829 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 410.71 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB         CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,WS2M,T2M,RH2M,PS,WS10M
2001,1,1,3.32,2.75,1.86,7.02,0.16,1.86,10.73,80.44,96.79,3.02
2001,1,2,0.69,0.33,0.53,1.98,0.05,1.95,12.71,92.62,96.77,2.86
2001,1,3,0.9,0.44,0.69,2.54,0.06,2.68,9.86,83.25,97.18,3.84
2001,1,4,0.79,0.41,0.61,2.19,0.05,1.59,9.14,87.88,97.23,2.26
2001,1,5,0.64,0.33,0.48,1.77,0.04,1.55,10.34,93.44,97.05,2.34
2001,1,6,1.61,0.82,1.23,4.33,0.1,2.67,15.84,89.81,96.7,4.08
2001,1,7,2.04,1.11,1.48,5.2,0.12,2.82,17.61,84.94,96.43,4.3
2001,1,8,2.62,1.3,1.95,6.41,0.15,3.85,17.95,82.81,96.37,5.57
2001,1,9,1.26,0.49,1.01,3.31,0.08,4.39,7.93,67.81,97.35,6.2
2001,1,10,1.1,0.44,0.87,3.21,0.08,1.58,6.96,75.0,97.02,2.34
2001,1,11,2.25,1.02,1.73,5.5,0.12,0.98,8.57,80.31,96.79,1.66
2001,1,12,0.79,0.35,0.62,2.27,0.05,1.68,9.67,83.0,97.0,2.59
2001,1,13,4.28,5.38,1.3,9.09,0.2,2.06,8.51,78.38,97.24,3.26
2001,1,14,1.78,0.68,1.42,4.55,0.1,2.71,8.83,71.25,97.51,3.99
2001,1,15,1.36,0.59,1.06,3.52,0.08,2.48,5.93,78.5,97.86,3.68
2001,1,16,1.75,0.72,1.38,4.64,0.1,1.36,6.85,78.06,97.7,2.21
2001,1,17,0.7,0.41,0.51,2.02,0.05,1.45,9.62,88.62,97.34,2.27
2001,1,18,0.79,0.42,0.58,2.36,0.06,2.88,14.8,88.75,96.96,4.22
2001,1,19,1.92,0.83,1.5,4.83,0.12,2.71,17.03,84.31,97.02,3.92
2001,1,20,1.38,0.6,1.08,3.74,0.1,2.13,12.47,81.44,97.13,3.13
2001,1,21,1.32,0.56,1.04,3.8,0.1,3.23,16.58,85.62,96.42,4.77
2001,1,22,2.93,1.93,1.88,7.09,0.2,3.47,19.91,83.94,96.18,5.05
2001,1,23,2.33,1.34,1.59,5.84,0.16,3.4,20.51,84.12,96.22,4.93
2001,1,24,0.83,0.38,0.65,2.39,0.06,3.98,17.7,84.81,96.21,5.58
2001,1,25,0.75,0.35,0.57,2.17,0.05,4.77,6.7,70.5,96.69,6.63
2001,1,26,2.08,1.15,1.5,4.98,0.12,3.31,5.05,70.19,97.12,4.76
2001,1,27,1.48,0.57,1.17,4.05,0.1,2.0,5.76,71.56,97.26,3.01
2001,1,28,4.27,4.4,1.66,8.77,0.2,2.98,5.62,70.19,97.61,4.44
2001,1,29,4.16,4.22,1.58,8.79,0.2,1.41,6.38,68.06,97.41,2.34
2001,1,30,1.9,0.7,1.5,4.08,0.09,1.09,9.31,69.69,97.01,1.92
2001,1,31,0.55,0.28,0.42,1.58,0.04,1.49,10.11,81.56,96.87,2.23
2001,2,1,0.8,0.35,0.63,2.16,0.05,2.53,9.03,79.5,97.0,3.65
2001,2,2,1.19,0.47,0.94,3.27,0.09,1.71,7.12,69.19,96.91,2.62
2001,2,3,2.82,1.3,2.1,7.15,0.19,1.57,7.47,79.06,96.87,2.34
2001,2,4,4.71,5.02,1.7,10.3,0.27,1.74,8.38,73.56,96.98,2.68
2001,2,5,1.76,0.69,1.4,4.81,0.13,2.51,11.97,82.81,96.45,3.7
2001,2,6,1.22,0.54,0.94,3.59,0.11,2.88,15.76,83.5,96.38,4.13
2001,2,7,2.37,1.13,1.71,5.67,0.16,3.98,8.65,70.88,97.22,5.55
2001,2,8,1.5,0.61,1.17,4.09,0.12,2.23,7.95,78.06,97.27,3.09
2001,2,9,0.53,0.31,0.4,1.49,0.03,2.88,8.37,79.12,97.45,4.04
2001,2,10,1.24,0.64,0.9,3.41,0.09,1.65,8.19,79.12,97.24,2.46
2001,2,11,0.96,0.47,0.73,2.88,0.08,1.47,9.08,88.88,96.96,2.27
2001,2,12,0.82,0.43,0.62,2.45,0.06,2.42,10.27,87.0,97.16,3.42
2001,2,13,2.23,1.04,1.69,6.0,0.17,4.59,7.24,70.5,97.68,6.38
2001,2,14,5.49,6.69,1.38,12.05,0.31,2.16,7.29,68.06,97.68,3.26
2001,2,15,2.13,1.16,1.45,5.37,0.15,1.34,10.17,64.44,97.62,2.16
2001,2,16,4.8,4.29,2.05,10.38,0.26,1.65,10.94,67.12,97.59,2.7
2001,2,17,4.31,3.8,1.99,9.63,0.24,2.12,13.33,70.69,97.07,3.28
2001,2,18,1.36,0.58,1.06,3.71,0.09,2.58,15.55,85.06,96.76,3.85
2001,2,19,1.28,0.56,0.98,3.49,0.09,2.45,17.58,84.5,96.76,3.55
2001,2,20,2.71,1.4,1.9,6.61,0.17,2.98,18.4,77.31,96.6,4.38
2001,2,21,3.26,1.54,2.33,7.61,0.2,2.02,18.35,76.44,96.49,3.05
2001,2,22,2.41,1.03,1.86,5.8,0.14,3.84,20.08,78.5,96.26,5.48
2001,2,23,2.67,1.03,2.04,5.99,0.16,2.88,20.83,80.81,96.18,4.2
2001,2,24,0.7,0.37,0.54,1.72,0.04,4.91,13.8,75.12,96.96,6.77
2001,2,25,0.91,0.44,0.69,2.49,0.05,3.56,8.24,77.0,97.24,4.82
2001,2,26,1.07,0.47,0.82,3.14,0.09,2.17,9.49,82.06,97.05,2.92
2001,2,27,1.44,0.59,1.11,4.15,0.11,2.01,11.08,88.56,97.25,2.75
2001,2,28,4.26,3.25,2.07,10.2,0.26,2.92,12.33,73.5,97.4,4.18
2001,3,1,5.72,6.07,1.7,12.57,0.3,1.63,12.29,68.88,97.33,2.62
2001,3,2,1.8,0.68,1.41,4.88,0.12,2.0,14.99,71.44,96.97,2.96
2001,3,3,1.74,0.66,1.36,4.23,0.11,3.05,14.69,76.88,97.43,4.37
2001,3,4,4.82,4.27,1.98,10.69,0.27,2.16,13.43,63.38,97.31,3.41
2001,3,5,2.18,1.07,1.53,5.49,0.14,2.97,16.26,73.56,96.64,4.38
2001,3,6,1.63,0.64,1.25,4.4,0.12,3.48,19.35,84.44,96.5,4.89
2001,3,7,1.13,0.46,0.87,3.09,0.09,3.65,13.37,82.25,97.08,5.02
2001,3,8,1.97,0.72,1.5,5.19,0.15,3.57,11.42,73.75,97.64,4.98
2001,3,9,0.68,0.33,0.5,1.84,0.05,1.62,10.69,78.56,97.41,2.33
2001,3,10,0.75,0.36,0.55,2.29,0.06,0.73,12.05,88.88,97.17,1.04
2001,3,11,0.82,0.38,0.6,2.59,0.07,2.09,13.44,85.25,97.34,3.03
